userId,id,title,completed,title_word_count,status,difficulty,task_rank
1,1,Delectus Aut Autem,False,3,Pending,Easy,191.5
1,2,Quis Ut Nam Facilis Et Officia Qui,False,7,Pending,Hard,73.5
1,3,Fugiat Veniam Minus,False,3,Pending,Easy,191.5
1,4,Et Porro Tempora,True,3,Completed,Easy,191.5
1,5,Laboriosam Mollitia Et Enim Quasi Adipisci Quia Provident Illum,False,9,Pending,Hard,15.0
1,6,Qui Ullam Ratione Quibusdam Voluptatem Quia Omnis,False,7,Pending,Hard,73.5
1,7,Illo Expedita Consequatur Quia In,False,5,Pending,Medium,135.0
1,8,Quo Adipisci Enim Quam Ut Ab,True,6,Completed,Medium,106.0
1,9,Molestiae Perspiciatis Ipsa,False,3,Pending,Easy,191.5
1,10,Illo Est Ratione Doloremque Quia Maiores Aut,True,7,Completed,Hard,73.5
1,11,Vero Rerum Temporibus Dolor,True,4,Completed,Medium,166.5
1,12,Ipsa Repellendus Fugit Nisi,True,4,Completed,Medium,166.5
1,13,Et Doloremque Nulla,False,3,Pending,Easy,191.5
1,14,Repellendus Sunt Dolores Architecto Voluptatum,True,5,Completed,Medium,135.0
1,15,Ab Voluptatum Amet Voluptas,True,4,Completed,Medium,166.5
1,16,Accusamus Eos Facilis Sint Et Aut Voluptatem,True,7,Completed,Hard,73.5
1,17,Quo Laboriosam Deleniti Aut Qui,True,5,Completed,Medium,135.0
1,18,Dolorum Est Consequatur Ea Mollitia In Culpa,False,7,Pending,Hard,73.5
1,19,Molestiae Ipsa Aut Voluptatibus Pariatur Dolor Nihil,True,7,Completed,Hard,73.5
1,20,Ullam Nobis Libero Sapiente Ad Optio Sint,True,7,Completed,Hard,73.5
2,21,Suscipit Repellat Esse Quibusdam Voluptatem Incidunt,False,6,Pending,Medium,106.0
2,22,Distinctio Vitae Autem Nihil Ut Molestias Quo,True,7,Completed,Hard,73.5
2,23,Et Itaque Necessitatibus Maxime Molestiae Qui Quas Velit,False,8,Pending,Hard,42.0
2,24,Adipisci Non Ad Dicta Qui Amet Quaerat Doloribus Ea,False,9,Pending,Hard,15.0
2,25,Voluptas Quo Tenetur Perspiciatis Explicabo Natus,True,6,Completed,Medium,106.0
2,26,Aliquam Aut Quasi,True,3,Completed,Easy,191.5
2,27,Veritatis Pariatur Delectus,True,3,Completed,Easy,191.5
2,28,Nesciunt Totam Sit Blanditiis Sit,False,5,Pending,Medium,135.0
2,29,Laborum Aut In Quam,False,4,Pending,Medium,166.5
2,30,Nemo Perspiciatis Repellat Ut Dolor Libero Commodi Blanditiis Omnis,True,9,Completed,Hard,15.0
2,31,Repudiandae Totam In Est Sint Facere Fuga,False,7,Pending,Hard,73.5
2,32,Earum Doloribus Ea Doloremque Quis,False,5,Pending,Medium,135.0
2,33,Sint Sit Aut Vero,False,4,Pending,Medium,166.5
2,34,Porro Aut Necessitatibus Eaque Distinctio,False,5,Pending,Medium,135.0
2,35,Repellendus Veritatis Molestias Dicta Incidunt,True,5,Completed,Medium,135.0
2,36,Excepturi Deleniti Adipisci Voluptatem Et Neque Optio Illum Ad,True,9,Completed,Hard,15.0
2,37,Sunt Cum Tempora,False,3,Pending,Easy,191.5
2,38,Totam Quia Non,False,3,Pending,Easy,191.5
2,39,Doloremque Quibusdam Asperiores Libero Corrupti Illum Qui Omnis,False,8,Pending,Hard,42.0
2,40,Totam Atque Quo Nesciunt,True,4,Completed,Medium,166.5
3,41,Aliquid Amet Impedit Consequatur Aspernatur Placeat Eaque Fugiat Suscipit,False,9,Pending,Hard,15.0
3,42,Rerum Perferendis Error Quia Ut Eveniet,False,6,Pending,Medium,106.0
3,43,Tempore Ut Sint Quis Recusandae,True,5,Completed,Medium,135.0
3,44,Cum Debitis Quis Accusamus Doloremque Ipsa Natus Sapiente Omnis,True,9,Completed,Hard,15.0
3,45,Velit Soluta Adipisci Molestias Reiciendis Harum,False,6,Pending,Medium,106.0
3,46,Vel Voluptatem Repellat Nihil Placeat Corporis,False,6,Pending,Medium,106.0
3,47,Nam Qui Rerum Fugiat Accusamus,False,5,Pending,Medium,135.0
3,48,Sit Reprehenderit Omnis Quia,False,4,Pending,Medium,166.5
3,49,Ut Necessitatibus Aut Maiores Debitis Officia Blanditiis Velit Et,False,9,Pending,Hard,15.0
3,50,Cupiditate Necessitatibus Ullam Aut Quis Dolor Voluptate,True,7,Completed,Hard,73.5
3,51,Distinctio Exercitationem Ab Doloribus,False,4,Pending,Medium,166.5
3,52,Nesciunt Dolorum Quis Recusandae Ad Pariatur Ratione,False,7,Pending,Hard,73.5
3,53,Qui Labore Est Occaecati Recusandae Aliquid Quam,False,7,Pending,Hard,73.5
3,54,Quis Et Est Ut Voluptate Quam Dolor,True,7,Completed,Hard,73.5
3,55,Voluptatum Omnis Minima Qui Occaecati Provident Nulla Voluptatem Ratione,True,9,Completed,Hard,15.0
3,56,Deleniti Ea Temporibus Enim,True,4,Completed,Medium,166.5
3,57,Pariatur Et Magnam Ea Doloribus Similique Voluptatem Rerum Quia,False,9,Pending,Hard,15.0
3,58,Est Dicta Totam Qui Explicabo Doloribus Qui Dignissimos,False,8,Pending,Hard,42.0
